GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
370210069.1,3,4223,3355,2872,214,123,90,46,7,1138.8333333333333,1319.1666666666667
370210070.1,3,4629,3938,3186,332,156,139,122,14,1618.1666666666667,725.3333333333334
370210071.1,3,5830,4916,4152,308,272,105,73,4,1787.0,1295.5
37023000001,8,4615,3728,3071,157,203,96,194,2,671.6666666666666,1529.5
37023000003,8,1684,1391,1210,49,41,27,58,11,196.16666666666666,639.6666666666666
37023000011,8,4339,3385,2904,131,48,101,192,1,357.0,1665.5
37023000012,8,2484,2044,1928,26,8,38,38,0,166.83333333333334,1239.6666666666667
37023000013,8,4093,3258,2878,113,56,77,129,2,358.1666666666667,1680.5
37023000014,8,2938,2324,1999,88,17,75,129,0,227.5,1204.3333333333333
37023000015,8,2311,1841,1521,121,48,27,104,2,226.66666666666666,795.3333333333334
37023000018,8,657,560,524,11,7,11,7,0,133.0,251.5
37023000019,8,724,571,512,13,16,14,5,0,165.16666666666666,300.5
37023000020,8,1058,895,750,17,95,17,9,0,309.8333333333333,416.8333333333333
37023000021,8,2123,1712,1529,61,23,35,53,5,310.1666666666667,705.8333333333334
37023000022,8,2807,2315,2071,46,61,42,85,1,329.1666666666667,1021.3333333333334
37023000024,8,3483,2790,2526,59,44,48,88,9,559.3333333333334,1284.6666666666667
37023000031,8,3880,2963,1666,721,464,252,64,4,876.3333333333334,487.6666666666667
37023000034,8,3062,2360,1654,444,159,155,51,3,754.5,650.5
37023000035,8,2593,1997,1182,532,233,163,21,7,566.8333333333334,446.0
37023000036,8,2646,2194,1889,108,53,62,78,7,380.6666666666667,991.5
37023000038,8,3562,2740,1920,462,211,188,80,2,598.1666666666666,935.1666666666666
37023000039,8,3085,2589,1821,241,369,101,94,4,582.6666666666666,587.8333333333334
37023000040,8,2597,2053,1649,129,155,66,62,7,421.3333333333333,810.3333333333334
